"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2201"	386	366	410	321	327	264
"Rv2202c"	801	981	998	795	933	413
"Rv2203"	377	390	381	406	422	197
"Rv2204c"	939	1049	1178	983	919	372
"Rv2205c"	201	214	203	184	151	89
"Rv2206"	267	263	277	243	243	183
"Rv2207"	321	371	378	325	360	162
"Rv2208"	408	367	486	390	392	126
"Rv2209"	339	305	311	303	334	172
"Rv2210c"	223	242	257	232	266	154
"Rv2211c"	501	482	451	417	361	256
"Rv2212"	243	180	230	241	188	115
"Rv2213"	567	706	626	551	565	299
"Rv2214c"	762	949	994	747	883	551
"Rv2215"	809	1016	1038	786	859	535
"Rv2216"	204	288	316	227	284	240
"Rv2217"	223	222	261	249	242	122
"Rv2218"	334	302	373	370	361	217
"Rv2219"	362	462	501	451	556	263
"Rv2219A"	100	99	114	108	127	53
"Rv2220"	3146	3683	3820	2891	2740	1654
"Rv2221c"	915	1133	1262	925	1185	617
"Rv2222c"	807	863	877	782	780	379
"Rv2223c"	322	407	436	408	374	332
"Rv2224c"	495	594	606	576	575	382
"Rv2224d"	4	7	1	8	6	17
"Rv2225"	361	331	382	338	356	518
"Rv2226"	250	320	334	253	297	449
"Rv2227"	92	96	121	117	98	75
"Rv2228c"	158	269	247	178	222	159
"Rv2229c"	99	152	163	103	129	119
"Rv2230c"	143	160	210	136	172	140
"Rv2231A"	48	28	28	34	34	40
"Rv2231B"	0	0	0	0	0	0
"Rv2231c"	124	115	141	121	120	136
"Rv2232"	112	110	105	136	119	92
"Rv2234"	22	28	42	29	27	40
"Rv2235"	89	105	103	89	125	87
"Rv2236c"	54	51	50	49	57	63
"Rv2237"	308	251	318	304	248	131
"Rv2237A"	303	282	385	310	293	141
"Rv2238c"	273	355	379	277	331	196
"Rv2239c"	607	667	706	507	539	226
"Rv2240c"	268	315	323	238	306	220
"Rv2241"	1084	1254	1243	1020	1141	755
"Rv2242"	205	225	228	180	236	183
"Rv2243"	504	536	579	594	497	179
"Rv2244"	1556	1895	1752	2013	1843	852
"Rv2245"	3962	4366	4642	4696	4922	1331
"Rv2246"	2393	2996	2991	2642	3097	891
"Rv2247"	2806	3630	3673	3196	3820	971
"Rv2248"	174	183	197	163	187	88
"Rv2249c"	32	53	41	48	58	106
"Rv2250c"	13	24	13	12	16	35
"Rv2251"	160	231	216	168	234	165
"Rv2252"	83	90	86	64	69	74
"Rv2253"	45	40	34	45	38	42
"Rv2254c"	34	16	26	31	18	35
"Rv2256a"	80	64	54	103	98	64
"Rv2256c"	1013	1179	1351	1330	1297	535
"Rv2257c"	257	246	277	217	249	174
"Rv2258c"	600	707	646	564	565	552
"Rv2259"	273	319	350	272	252	224
"Rv2260"	125	187	168	134	152	113
"Rv2263"	65	40	60	45	49	78
"Rv2264c"	187	221	214	210	207	146
"Rv2265"	52	43	54	45	47	87
"Rv2266"	136	153	192	124	160	163
"Rv2267c"	45	76	92	74	72	95
"Rv2268c"	41	77	70	53	59	101
"Rv2269c"	14	9	17	24	15	21
"Rv2270"	8	6	10	14	6	35
"Rv2271"	73	79	83	73	69	34
"Rv2272"	41	39	43	44	28	27
"Rv2273"	15	14	14	9	14	25
"Rv2274A"	0	0	0	0	0	0
"Rv2274c"	15	6	9	13	7	27
"Rv2275"	38	61	43	29	35	61
"Rv2276"	37	39	48	43	44	83
"Rv2277c"	15	20	25	25	11	50
"Rv2280"	558	725	818	684	712	505
"Rv2281"	97	97	80	91	110	124
"Rv2282c"	42	39	44	35	36	77
"Rv2283"	7	6	2	11	5	7
"Rv2284"	123	147	168	152	128	183
"Rv2285"	205	227	231	222	212	163
"Rv2286c"	108	112	104	103	111	70
"Rv2287"	125	107	123	114	109	123
"Rv2288"	249	285	270	176	162	73
"Rv2289"	480	736	812	501	509	351
"Rv2290"	300	280	271	296	298	179
"Rv2291"	383	453	396	343	417	189
"Rv2292c"	9	12	14	18	16	13
"Rv2293c"	148	121	157	210	133	90
"Rv2294"	189	159	188	161	161	157
"Rv2295"	239	203	218	218	227	91
"Rv2296"	316	337	391	273	325	177
"Rv2297"	132	164	197	146	213	99
"Rv2298"	310	360	307	279	258	155
"Rv2299c"	601	746	795	614	653	575
"Rv2300c"	118	135	148	109	123	103
"Rv2301"	288	318	331	212	253	175
"Rv2302"	272	376	433	268	278	138
"Rv2303c"	299	392	412	328	360	212
"Rv2304c"	31	33	39	31	31	19
"Rv2305"	95	98	117	95	76	127
"Rv2307A"	26	28	33	28	26	21
"Rv2307B"	24	24	30	17	20	16
"Rv2307c"	109	106	105	112	117	94
"Rv2307D"	90	49	63	103	60	16
"Rv2308"	30	33	50	43	41	48
"Rv2308a"	26	36	30	24	25	19
"Rv2309A"	18	15	25	9	13	15
"Rv2310"	4	3	6	3	3	19
"Rv2311"	24	39	35	29	35	35
"Rv2312"	69	68	58	55	70	45
"Rv2313c"	346	375	392	370	333	143
